"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042060","wound healing","76/1189","450/18805",0.168888888888889,2.67111484907953,9.32175659085684,2.68162228374946e-15,1.3871300722304e-12,9.93868239709251e-13,"6288/3084/325/710/6385/51129/3273/5054/3479/2266/2243/2244/9060/2158/3083/5873/2131/2683/462/5359/5581/5627/7057/23499/25987/5530/2161/3572/3693/302/4067/7076/725/1026/4853/160851/3162/5340/8613/4921/51330/3570/2022/3827/11234/5467/7494/7006/9076/51156/2153/3688/949/1361/1398/90102/50848/2147/3091/3717/2160/350/5265/667/10672/4088/4627/7414/7422/55207/128866/387/60/8837/5465/5728",76
"GO:0006066","alcohol metabolic process","66/1189","368/18805",0.179347826086957,2.83653142940725,9.24356595315454,1.00063120015277e-14,4.74465960739106e-12,3.39951284051902e-12,"1576/125/1559/5105/1558/2805/3638/1066/3479/8630/1577/216/2710/3949/8854/8542/9563/6342/5444/25987/80271/341/84532/19/124/5805/8613/1646/6822/127/54363/5950/5467/54206/3418/1718/37/81537/2643/351/2230/1645/949/10449/27329/847/3931/116519/9249/3613/217/55331/9420/6720/50/10613/9971/3158/4864/10162/427/5562/4790/6652/4204/2260",66
"GO:0006869","lipid transport","75/1189","460/18805",0.16304347826087,2.57866493582477,8.90578934799829,2.77330318802492e-14,1.21385347229706e-11,8.69716862123119e-12,"5320/8647/2180/3929/1066/8714/5244/345/123/3949/200931/5359/84879/8542/5243/6580/7057/6342/5444/25987/4792/23460/341/19/5305/81671/1191/302/366/4067/114883/57605/114885/11001/9388/50640/5950/1579/5467/23200/26207/23760/80820/23673/10864/80830/28965/81537/51703/5306/23130/1645/10998/949/6256/2181/57088/3931/116519/55852/1408/350/55187/118987/1374/11309/55207/4864/5007/10162/5465/4790/185/1244/8660",75
"GO:0005996","monosaccharide metabolic process","52/1189","260/18805",0.2,3.16316232127839,9.12482958929863,8.42849151985272e-14,3.42557976771157e-11,2.45440207942779e-11,"4837/10993/229/5105/2805/2203/10891/3479/2683/23516/3487/9563/10580/5091/2308/79660/4485/51422/51181/6095/3643/5950/5467/5207/6934/2542/54206/2821/5230/5771/9446/2822/3795/2729/32/55277/5373/9962/5166/2908/57486/5236/64080/5163/1374/30001/5465/5562/23786/6652/3607/8660",52
"GO:0043434","response to peptide hormone","77/1189","494/18805",0.15587044534413,2.46521759856716,8.57377272914744,1.41761637961223e-13,5.37749146666238e-11,3.85293209700923e-11,"5105/2690/2805/2203/3638/8835/23516/6774/445/10580/5530/2321/5305/1956/4067/133/7076/5919/2308/5905/4921/6715/3643/5167/5207/7494/54206/2887/1969/2195/5771/9663/2642/6429/3716/2822/3795/9564/645/2729/1398/847/6655/23191/1408/3717/5166/55022/1036/3030/677/9640/55625/6778/6720/4088/4519/3484/9971/5770/10458/54765/8615/3158/23235/8891/4193/8837/5465/3297/5562/4790/7049/4233/185/2260/8660",77
"GO:0006006","glucose metabolic process","43/1189","193/18805",0.22279792746114,3.52373004701996,9.15561303300066,2.57081585079834e-13,9.14246386940159e-11,6.55050644088287e-11,"4837/10993/229/5105/2805/2203/10891/3479/23516/3487/9563/10580/5091/2308/79660/4485/51422/51181/6095/3643/5950/5467/5207/6934/2542/54206/2821/5230/5771/2822/32/5166/2908/57486/5236/5163/1374/5465/5562/23786/6652/3607/8660",43
"GO:0062012","regulation of small molecule metabolic process","59/1189","347/18805",0.170028818443804,2.68914376016462,8.25090197563762,2.78502985990356e-12,9.32165876638308e-10,6.67889823368822e-10,"4837/229/2203/8647/3638/1066/10891/3479/345/3949/3487/84879/9563/6774/83752/8870/10580/341/133/2308/440503/79660/4485/51422/6095/3643/130013/5467/5207/6934/37/5230/351/5771/2822/9926/32/116519/3091/5166/55022/2908/57486/26137/6720/5629/51085/493/10613/9971/5163/1374/10162/972/5465/5562/4790/3607/8660",59
"GO:0006091","generation of precursor metabolites and energy","73/1189","484/18805",0.150826446280992,2.38544265964176,8.02230274336267,3.21257372934067e-12,1.01553025110824e-09,7.27619769224351e-10,"229/2203/2998/10891/3479/2632/5447/9563/6774/8870/10580/3572/8801/5256/38/7360/79660/51422/3643/4539/5167/5467/5207/2887/3418/83931/23710/37/2821/5230/27089/351/10495/23130/2642/4535/2230/3795/10840/10998/32/48/4540/2108/400916/847/10954/4537/4508/3091/3454/55022/26137/23530/5236/6390/50/51085/4519/1352/64080/4512/3158/4538/55526/10131/387/5465/5562/23786/4726/3607/8660",73
"GO:0071375","cellular response to peptide hormone stimulus","61/1189","369/18805",0.165311653116531,2.61453796203227,8.13749045165243,4.10609430583127e-12,1.22966718948316e-09,8.81047271273381e-10,"5105/2690/2805/2203/3638/8835/23516/6774/445/10580/5530/2321/5305/1956/4067/5919/2308/5905/4921/6715/3643/5167/7494/2887/1969/2195/5771/9663/2642/3716/2822/9564/645/2729/1398/6655/23191/3717/5166/55022/677/9640/55625/6778/6720/3484/9971/5770/10458/8615/3158/23235/4193/8837/3297/5562/4790/4233/185/2260/8660",61
"GO:0072329","monocarboxylic acid catabolic process","32/1189","124/18805",0.258064516129032,4.08149976939147,8.94407268048582,4.57226471710306e-12,1.30080931201582e-09,9.32020065754744e-10,"5105/8647/11057/189/84879/83752/6342/38/5095/51084/440503/11001/51181/6822/54363/1579/5467/4051/55268/37/9663/10449/32/2108/1666/3030/1892/1374/5465/6652/3032/8660",32
